
Buscando mesa en Conforama ... 
Número de intentos realizados: 0

Buscando mesa en IKEA ... 
         1214583 function calls (1189118 primitive calls) in 9.773 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _markupbase.py:1(<module>)
      280    0.001    0.000    0.006    0.000 _markupbase.py:168(parse_comment)
        1    0.000    0.000    0.000    0.000 _markupbase.py:23(ParserBase)
        2    0.000    0.000    0.000    0.000 _markupbase.py:36(reset)
     5697    0.002    0.000    0.002    0.000 _markupbase.py:40(getpos)
    22634    0.013    0.000    0.022    0.000 _markupbase.py:48(updatepos)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:203(AddrlistClass)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:4(<module>)
        1    0.000    0.000    0.000    0.000 _parseaddr.py:504(AddressList)
        1    0.000    0.000    0.011    0.011 _policybase.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _policybase.py:104(<genexpr>)
        1    0.000    0.000    0.000    0.000 _policybase.py:112(Policy)
        1    0.000    0.000    0.000    0.000 _policybase.py:18(_PolicyBase)
        1    0.000    0.000    0.000    0.000 _policybase.py:279(Compat32)
      154    0.000    0.000    0.000    0.000 _policybase.py:289(_sanitize_header)
       70    0.000    0.000    0.000    0.000 _policybase.py:301(header_source_parse)
      154    0.000    0.000    0.000    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 _policybase.py:41(__init__)
        6    0.000    0.000    0.000    0.000 _policybase.py:94(_append_doc)
        1    0.000    0.000    0.000    0.000 _policybase.py:99(_extend_docstrings)
        1    0.000    0.000    0.010    0.010 _request_methods.py:1(<module>)
        4    0.000    0.000    1.721    0.430 _request_methods.py:147(request_encode_url)
       12    0.000    0.000    5.705    0.475 _request_methods.py:184(request_encode_body)
        1    0.000    0.000    0.000    0.000 _request_methods.py:20(RequestMethods)
        5    0.000    0.000    0.000    0.000 _request_methods.py:51(__init__)
       16    0.000    0.000    7.426    0.464 _request_methods.py:69(request)
        1    0.000    0.000    0.000    0.000 _socket.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _socket.py:55(sock_opt)
        1    0.000    0.000    0.000    0.000 _ssl_compat.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _typing.py:16(<module>)
        1    0.000    0.000    0.000    0.000 _typing.py:45(_RegularExpressionProtocol)
        1    0.000    0.000    0.000    0.000 _url.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _utils.py:24(NoLock)
        1    0.000    0.000    0.000    0.000 _version.py:3(<module>)
        1    0.000    0.000    0.000    0.000 _warnings.py:1(<module>)
